cancertype	current_age	age_stop	sex	gene	cum_incidence_risk_percent	CI	CI_truncation
CRC	25	60	BOTH	MSH6	10.0	[0.5 - 19.6]	.
CRC	25	70	BOTH	MSH6	19.9	[4.4 - 35.4]	.
CRC	25	40	MALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	50	MALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	60	MALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	70	MALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	40	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	50	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	60	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	70	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	40	BOTH	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	50	BOTH	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	60	BOTH	PMS2	0.0	[0.0 - 0.0]	.
CRC	25	70	BOTH	PMS2	0.0	[0.0 - 0.0]	.
URO	25	40	BOTH	MLH1	0.0	[0.0 - 0.0]	.
URO	25	50	BOTH	MLH1	0.9	[0.0 - 2.2]	*
URO	25	60	BOTH	MLH1	1.6	[0.0 - 3.3]	*
URO	25	70	BOTH	MLH1	1.6	[0.0 - 3.3]	*
URO	25	40	BOTH	MSH2	0.0	[0.0 - 0.0]	.
URO	25	50	BOTH	MSH2	0.8	[0.0 - 2.3]	*
URO	25	60	BOTH	MSH2	8.5	[1.8 - 15.1]	.
URO	25	70	BOTH	MSH2	19.0	[4.1 - 33.9]	.
URO	25	40	BOTH	MSH6	0.0	[0.0 - 0.0]	.
URO	25	50	BOTH	MSH6	4.0	[0.0 - 9.4]	*
URO	25	60	BOTH	MSH6	4.0	[0.0 - 9.4]	*
URO	25	70	BOTH	MSH6	8.8	[0.0 - 19.3]	*
URO	25	40	BOTH	PMS2	0.0	[0.0 - 0.0]	.
URO	25	50	BOTH	PMS2	0.0	[0.0 - 0.0]	.
URO	25	60	BOTH	PMS2	0.0	[0.0 - 0.0]	.
URO	25	70	BOTH	PMS2	0.0	[0.0 - 0.0]	.
UGI	25	40	BOTH	MLH1	0.4	[0.0 - 1.1]	*
UGI	25	50	BOTH	MLH1	2.3	[0.5 - 4.1]	.
UGI	25	60	BOTH	MLH1	6.4	[2.4 - 10.4]	.
UGI	25	70	BOTH	MLH1	17.4	[7.2 - 27.6]	.
UGI	25	40	BOTH	MSH2	0.0	[0.0 - 0.0]	.
UGI	25	50	BOTH	MSH2	2.7	[0.0 - 5.7]	*
UGI	25	60	BOTH	MSH2	5.6	[0.6 - 10.5]	.
UGI	25	70	BOTH	MSH2	5.6	[0.6 - 10.5]	.
UGI	25	40	BOTH	MSH6	0.0	[0.0 - 0.0]	.
UGI	25	50	BOTH	MSH6	0.0	[0.0 - 0.0]	.
UGI	25	60	BOTH	MSH6	2.1	[0.0 - 6.3]	*
UGI	25	70	BOTH	MSH6	2.1	[0.0 - 6.3]	*
UGI	25	40	BOTH	PMS2	0.0	[0.0 - 0.0]	.
UGI	25	50	BOTH	PMS2	0.0	[0.0 - 0.0]	.
UGI	25	60	BOTH	PMS2	0.0	[0.0 - 0.0]	.
UGI	25	70	BOTH	PMS2	0.0	[0.0 - 0.0]	.
END	25	40	FEMALE	MLH1	3.0	[0.1 - 5.9]	.
END	25	50	FEMALE	MLH1	18.0	[11.3 - 24.7]	.
END	25	60	FEMALE	MLH1	34.2	[24.2 - 44.3]	.
END	25	70	FEMALE	MLH1	34.2	[24.2 - 44.3]	.
END	25	40	FEMALE	MSH2	1.6	[0.0 - 4.7]	*
END	25	50	FEMALE	MSH2	15.3	[6.0 - 24.6]	.
END	25	60	FEMALE	MSH2	43.7	[29.3 - 58.2]	.
END	25	70	FEMALE	MSH2	50.9	[32.7 - 69.2]	.
END	25	40	FEMALE	MSH6	0.0	[0.0 - 0.0]	.
END	25	50	FEMALE	MSH6	15.8	[3.1 - 28.6]	.
END	25	60	FEMALE	MSH6	40.4	[19.5 - 61.4]	.
END	25	70	FEMALE	MSH6	49.4	[25.3 - 73.5]	.
END	25	40	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
END	25	50	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
END	25	60	FEMALE	PMS2	23.9	[0.0 - 52.8]	*
END	25	70	FEMALE	PMS2	23.9	[0.0 - 52.8]	*
OVARIAN	25	40	FEMALE	MLH1	1.5	[0.0 - 3.6]	*
OVARIAN	25	50	FEMALE	MLH1	6.7	[2.2 - 11.2]	.
OVARIAN	25	60	FEMALE	MLH1	8.0	[2.9 - 13.2]	.
OVARIAN	25	70	FEMALE	MLH1	11.5	[3.2 - 19.8]	.
OVARIAN	25	40	FEMALE	MSH2	4.2	[0.0 - 8.9]	*
OVARIAN	25	50	FEMALE	MSH2	12.2	[4.2 - 20.2]	.
OVARIAN	25	60	FEMALE	MSH2	15.0	[5.5 - 24.4]	.
OVARIAN	25	70	FEMALE	MSH2	15.0	[5.5 - 24.4]	.
OVARIAN	25	40	FEMALE	MSH6	0.0	[0.0 - 0.0]	.
OVARIAN	25	50	FEMALE	MSH6	0.0	[0.0 - 0.0]	.
OVARIAN	25	60	FEMALE	MSH6	0.0	[0.0 - 0.0]	.
OVARIAN	25	70	FEMALE	MSH6	0.0	[0.0 - 0.0]	.
OVARIAN	25	40	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
OVARIAN	25	50	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
OVARIAN	25	60	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
OVARIAN	25	70	FEMALE	PMS2	0.0	[0.0 - 0.0]	.
