age	sex	cancer	organ	gene	time_years	events_cases	air
60	BOTH	153	Colon	MLH1	851	16	0.0188014101057579
65	BOTH	153	Colon	MLH1	549	8	0.0145719489981785
70	BOTH	153	Colon	MLH1	318	5	0.0157232704402516
75	BOTH	153	Colon	MLH1	175	3	0.0171428571428571
25	BOTH	153	Colon	MSH2	950	4	0.00421052631578947
30	BOTH	153	Colon	MSH2	1380	7	0.00507246376811594
35	BOTH	153	Colon	MSH2	1731	10	0.00577700751010976
40	BOTH	153	Colon	MSH2	1825	20	0.010958904109589
45	BOTH	153	Colon	MSH2	1803	18	0.00998336106489185
50	BOTH	153	Colon	MSH2	1644	26	0.0158150851581509
55	BOTH	153	Colon	MSH2	1387	13	0.00937274693583273
60	BOTH	153	Colon	MSH2	1019	20	0.0196270853778214
65	BOTH	153	Colon	MSH2	642	12	0.0186915887850467
70	BOTH	153	Colon	MSH2	372	2	0.00537634408602151
75	BOTH	153	Colon	MSH2	177	6	0.0338983050847458
25	BOTH	153	Colon	MSH6	138	0	0
30	BOTH	153	Colon	MSH6	281	1	0.00355871886120996
35	BOTH	153	Colon	MSH6	419	2	0.00477326968973747
40	BOTH	153	Colon	MSH6	494	1	0.00202429149797571
45	BOTH	153	Colon	MSH6	488	0	0
50	BOTH	153	Colon	MSH6	506	1	0.00197628458498024
55	BOTH	153	Colon	MSH6	544	4	0.00735294117647059
60	BOTH	153	Colon	MSH6	468	3	0.00641025641025641
65	BOTH	153	Colon	MSH6	328	2	0.00609756097560976
70	BOTH	153	Colon	MSH6	221	2	0.00904977375565611
75	BOTH	153	Colon	MSH6	135	3	0.0222222222222222
25	BOTH	153	Colon	PMS2	48	0	0
30	BOTH	153	Colon	PMS2	74	0	0
35	BOTH	153	Colon	PMS2	143	0	0
40	BOTH	153	Colon	PMS2	144	0	0
45	BOTH	153	Colon	PMS2	155	0	0
50	BOTH	153	Colon	PMS2	197	0	0
55	BOTH	153	Colon	PMS2	227	0	0
60	BOTH	153	Colon	PMS2	215	0	0
65	BOTH	153	Colon	PMS2	161	2	0.0124223602484472
70	BOTH	153	Colon	PMS2	76	1	0.0131578947368421
75	BOTH	153	Colon	PMS2	26	1	0.0384615384615385
25	BOTH	191	Brain	MLH1	1328	0	0
30	BOTH	191	Brain	MLH1	2102	0	0
35	BOTH	191	Brain	MLH1	2733	1	0.000365898280278083
40	BOTH	191	Brain	MLH1	3208	0	0
45	BOTH	191	Brain	MLH1	3322	1	0.000301023479831427
50	BOTH	191	Brain	MLH1	3092	1	0.000323415265200517
55	BOTH	191	Brain	MLH1	2622	0	0
60	BOTH	191	Brain	MLH1	2090	0	0
65	BOTH	191	Brain	MLH1	1465	2	0.00136518771331058
70	BOTH	191	Brain	MLH1	972	0	0
75	BOTH	191	Brain	MLH1	582	0	0
25	BOTH	191	Brain	MSH2	1016	0	0
30	BOTH	191	Brain	MSH2	1501	2	0.00133244503664224
35	BOTH	191	Brain	MSH2	2030	0	0
40	BOTH	191	Brain	MSH2	2497	1	0.00040048057669203
45	BOTH	191	Brain	MSH2	2705	0	0
50	BOTH	191	Brain	MSH2	2688	2	0.000744047619047619
55	BOTH	191	Brain	MSH2	2404	2	0.000831946755407654
60	BOTH	191	Brain	MSH2	1961	4	0.00203977562468129
65	BOTH	191	Brain	MSH2	1392	0	0
70	BOTH	191	Brain	MSH2	820	4	0.0048780487804878
75	BOTH	191	Brain	MSH2	370	0	0
25	BOTH	191	Brain	MSH6	146	0	0
30	BOTH	191	Brain	MSH6	292	0	0
35	BOTH	191	Brain	MSH6	467	0	0
40	BOTH	191	Brain	MSH6	565	0	0
45	BOTH	191	Brain	MSH6	586	0	0
50	BOTH	191	Brain	MSH6	629	0	0
55	BOTH	191	Brain	MSH6	699	1	0.00143061516452074
60	BOTH	191	Brain	MSH6	652	1	0.00153374233128834
65	BOTH	191	Brain	MSH6	506	0	0
70	BOTH	191	Brain	MSH6	321	0	0
75	BOTH	191	Brain	MSH6	192	1	0.00520833333333333
25	BOTH	191	Brain	PMS2	50	0	0
30	BOTH	191	Brain	PMS2	80	0	0
35	BOTH	191	Brain	PMS2	150	0	0
40	BOTH	191	Brain	PMS2	178	0	0
45	BOTH	191	Brain	PMS2	249	0	0
50	BOTH	191	Brain	PMS2	323	0	0
55	BOTH	191	Brain	PMS2	372	0	0
60	BOTH	191	Brain	PMS2	318	0	0
65	BOTH	191	Brain	PMS2	240	0	0
70	BOTH	191	Brain	PMS2	132	0	0
75	BOTH	191	Brain	PMS2	79	0	0
25	BOTH	157	Pancreas	MLH1	1328	0	0
30	BOTH	157	Pancreas	MLH1	2099	1	0.000476417341591234
35	BOTH	157	Pancreas	MLH1	2729	1	0.000366434591425431
40	BOTH	157	Pancreas	MLH1	3210	1	0.000311526479750779
45	BOTH	157	Pancreas	MLH1	3325	1	0.000300751879699248
50	BOTH	157	Pancreas	MLH1	3091	2	0.000647039792947266
55	BOTH	157	Pancreas	MLH1	2615	1	0.000382409177820268
60	BOTH	157	Pancreas	MLH1	2091	1	0.000478240076518412
65	BOTH	157	Pancreas	MLH1	1470	3	0.00204081632653061
70	BOTH	157	Pancreas	MLH1	971	3	0.00308959835221421
75	BOTH	157	Pancreas	MLH1	580	2	0.00344827586206897
25	BOTH	157	Pancreas	MSH2	1016	0	0
30	BOTH	157	Pancreas	MSH2	1503	0	0
35	BOTH	157	Pancreas	MSH2	2034	0	0
40	BOTH	157	Pancreas	MSH2	2494	0	0
45	BOTH	157	Pancreas	MSH2	2701	1	0.000370233246945576
50	BOTH	157	Pancreas	MSH2	2679	2	0.000746547219111609
55	BOTH	157	Pancreas	MSH2	2405	2	0.000831600831600832
60	BOTH	157	Pancreas	MSH2	1964	2	0.0010183299389002
65	BOTH	157	Pancreas	MSH2	1392	4	0.0028735632183908
70	BOTH	157	Pancreas	MSH2	816	1	0.00122549019607843
75	BOTH	157	Pancreas	MSH2	370	3	0.00810810810810811
25	BOTH	157	Pancreas	MSH6	146	0	0
30	BOTH	157	Pancreas	MSH6	292	0	0
35	BOTH	157	Pancreas	MSH6	464	0	0
40	BOTH	157	Pancreas	MSH6	560	0	0
45	BOTH	157	Pancreas	MSH6	581	0	0
50	BOTH	157	Pancreas	MSH6	624	0	0
55	BOTH	157	Pancreas	MSH6	694	0	0
60	BOTH	157	Pancreas	MSH6	650	0	0
65	BOTH	157	Pancreas	MSH6	510	1	0.00196078431372549
70	BOTH	157	Pancreas	MSH6	326	1	0.00306748466257669
75	BOTH	157	Pancreas	MSH6	191	0	0
25	BOTH	157	Pancreas	PMS2	50	0	0
30	BOTH	157	Pancreas	PMS2	80	0	0
35	BOTH	157	Pancreas	PMS2	150	0	0
40	BOTH	157	Pancreas	PMS2	178	0	0
45	BOTH	157	Pancreas	PMS2	249	0	0
50	BOTH	157	Pancreas	PMS2	323	0	0
55	BOTH	157	Pancreas	PMS2	372	0	0
60	BOTH	157	Pancreas	PMS2	318	0	0
65	BOTH	157	Pancreas	PMS2	240	0	0
70	BOTH	157	Pancreas	PMS2	132	0	0
75	BOTH	157	Pancreas	PMS2	79	0	0
25	BOTH	151	Stomach	MLH1	1328	0	0
30	BOTH	151	Stomach	MLH1	2102	0	0
35	BOTH	151	Stomach	MLH1	2733	1	0.000365898280278083
40	BOTH	151	Stomach	MLH1	3204	1	0.00031210986267166
45	BOTH	151	Stomach	MLH1	3318	0	0
50	BOTH	151	Stomach	MLH1	3086	1	0.000324044069993519
55	BOTH	151	Stomach	MLH1	2602	2	0.000768639508070715
60	BOTH	151	Stomach	MLH1	2064	2	0.000968992248062015
65	BOTH	151	Stomach	MLH1	1439	4	0.00277970813064628
70	BOTH	151	Stomach	MLH1	953	4	0.00419727177334732
75	BOTH	151	Stomach	MLH1	578	0	0
25	BOTH	151	Stomach	MSH2	1016	0	0
30	BOTH	151	Stomach	MSH2	1499	0	0
35	BOTH	151	Stomach	MSH2	2028	0	0
40	BOTH	151	Stomach	MSH2	2494	0	0
45	BOTH	151	Stomach	MSH2	2691	2	0.000743218134522482
50	BOTH	151	Stomach	MSH2	2659	4	0.00150432493418578
55	BOTH	151	Stomach	MSH2	2361	4	0.00169419737399407
60	BOTH	151	Stomach	MSH2	1933	5	0.00258665287118469
65	BOTH	151	Stomach	MSH2	1368	1	0.000730994152046784
70	BOTH	151	Stomach	MSH2	804	3	0.00373134328358209
75	BOTH	151	Stomach	MSH2	369	2	0.00542005420054201
25	BOTH	151	Stomach	MSH6	146	0	0
30	BOTH	151	Stomach	MSH6	288	0	0
35	BOTH	151	Stomach	MSH6	460	0	0
40	BOTH	151	Stomach	MSH6	560	0	0
45	BOTH	151	Stomach	MSH6	581	0	0
50	BOTH	151	Stomach	MSH6	623	1	0.00160513643659711
55	BOTH	151	Stomach	MSH6	685	0	0
60	BOTH	151	Stomach	MSH6	648	0	0
65	BOTH	151	Stomach	MSH6	505	0	0
70	BOTH	151	Stomach	MSH6	323	0	0
75	BOTH	151	Stomach	MSH6	187	0	0
25	BOTH	151	Stomach	PMS2	50	0	0
30	BOTH	151	Stomach	PMS2	80	0	0
35	BOTH	151	Stomach	PMS2	150	0	0
40	BOTH	151	Stomach	PMS2	178	0	0
45	BOTH	151	Stomach	PMS2	249	0	0
50	BOTH	151	Stomach	PMS2	323	0	0
55	BOTH	151	Stomach	PMS2	372	0	0
60	BOTH	151	Stomach	PMS2	318	0	0
65	BOTH	151	Stomach	PMS2	240	0	0
70	BOTH	151	Stomach	PMS2	132	0	0
75	BOTH	151	Stomach	PMS2	79	0	0
25	BOTH	152	Duodenum	MLH1	1323	0	0
30	BOTH	152	Duodenum	MLH1	2098	0	0
35	BOTH	152	Duodenum	MLH1	2717	2	0.000736105999263894
40	BOTH	152	Duodenum	MLH1	3191	2	0.000626762770291445
45	BOTH	152	Duodenum	MLH1	3298	0	0
50	BOTH	152	Duodenum	MLH1	3061	6	0.00196014374387455
55	BOTH	152	Duodenum	MLH1	2576	2	0.00077639751552795
60	BOTH	152	Duodenum	MLH1	2060	2	0.000970873786407767
65	BOTH	152	Duodenum	MLH1	1443	6	0.00415800415800416
70	BOTH	152	Duodenum	MLH1	946	2	0.00211416490486258
75	BOTH	152	Duodenum	MLH1	565	0	0
25	BOTH	152	Duodenum	MSH2	1016	0	0
30	BOTH	152	Duodenum	MSH2	1500	0	0
35	BOTH	152	Duodenum	MSH2	2031	0	0
40	BOTH	152	Duodenum	MSH2	2488	3	0.00120578778135048
45	BOTH	152	Duodenum	MSH2	2682	2	0.000745712155108128
50	BOTH	152	Duodenum	MSH2	2648	4	0.00151057401812689
55	BOTH	152	Duodenum	MSH2	2369	3	0.00126635711270578
60	BOTH	152	Duodenum	MSH2	1927	3	0.00155682407887909
65	BOTH	152	Duodenum	MSH2	1367	4	0.00292611558156547
70	BOTH	152	Duodenum	MSH2	805	0	0
75	BOTH	152	Duodenum	MSH2	365	2	0.00547945205479452
25	BOTH	152	Duodenum	MSH6	146	0	0
30	BOTH	152	Duodenum	MSH6	290	0	0
35	BOTH	152	Duodenum	MSH6	464	0	0
40	BOTH	152	Duodenum	MSH6	560	0	0
45	BOTH	152	Duodenum	MSH6	581	0	0
50	BOTH	152	Duodenum	MSH6	624	0	0
55	BOTH	152	Duodenum	MSH6	693	1	0.00144300144300144
60	BOTH	152	Duodenum	MSH6	641	0	0
65	BOTH	152	Duodenum	MSH6	495	0	0
70	BOTH	152	Duodenum	MSH6	320	1	0.003125
75	BOTH	152	Duodenum	MSH6	192	0	0
25	BOTH	152	Duodenum	PMS2	50	0	0
30	BOTH	152	Duodenum	PMS2	80	0	0
35	BOTH	152	Duodenum	PMS2	150	0	0
40	BOTH	152	Duodenum	PMS2	173	0	0
45	BOTH	152	Duodenum	PMS2	246	1	0.0040650406504065
50	BOTH	152	Duodenum	PMS2	316	0	0
55	BOTH	152	Duodenum	PMS2	367	0	0
60	BOTH	152	Duodenum	PMS2	314	1	0.00318471337579618
65	BOTH	152	Duodenum	PMS2	240	0	0
70	BOTH	152	Duodenum	PMS2	132	0	0
75	BOTH	152	Duodenum	PMS2	78	0	0
25	BOTH	156	Bile duct/gall bladder	MLH1	1328	0	0
30	BOTH	156	Bile duct/gall bladder	MLH1	2102	0	0
35	BOTH	156	Bile duct/gall bladder	MLH1	2734	0	0
40	BOTH	156	Bile duct/gall bladder	MLH1	3211	0	0
45	BOTH	156	Bile duct/gall bladder	MLH1	3329	2	0.000600781015319916
50	BOTH	156	Bile duct/gall bladder	MLH1	3091	2	0.000647039792947266
55	BOTH	156	Bile duct/gall bladder	MLH1	2614	2	0.000765110941086458
60	BOTH	156	Bile duct/gall bladder	MLH1	2083	4	0.00192030724915987
65	BOTH	156	Bile duct/gall bladder	MLH1	1455	2	0.0013745704467354
70	BOTH	156	Bile duct/gall bladder	MLH1	964	0	0
75	BOTH	156	Bile duct/gall bladder	MLH1	575	3	0.00521739130434783
25	BOTH	156	Bile duct/gall bladder	MSH2	1016	0	0
30	BOTH	156	Bile duct/gall bladder	MSH2	1503	0	0
35	BOTH	156	Bile duct/gall bladder	MSH2	2034	0	0
40	BOTH	156	Bile duct/gall bladder	MSH2	2497	0	0
45	BOTH	156	Bile duct/gall bladder	MSH2	2702	1	0.000370096225018505
50	BOTH	156	Bile duct/gall bladder	MSH2	2681	4	0.00149198060425214
55	BOTH	156	Bile duct/gall bladder	MSH2	2399	0	0
60	BOTH	156	Bile duct/gall bladder	MSH2	1967	1	0.000508388408744281
65	BOTH	156	Bile duct/gall bladder	MSH2	1397	2	0.00143163922691482
70	BOTH	156	Bile duct/gall bladder	MSH2	817	4	0.00489596083231334
75	BOTH	156	Bile duct/gall bladder	MSH2	374	0	0
25	BOTH	156	Bile duct/gall bladder	MSH6	146	0	0
30	BOTH	156	Bile duct/gall bladder	MSH6	292	0	0
35	BOTH	156	Bile duct/gall bladder	MSH6	464	0	0
40	BOTH	156	Bile duct/gall bladder	MSH6	560	0	0
45	BOTH	156	Bile duct/gall bladder	MSH6	581	0	0
50	BOTH	156	Bile duct/gall bladder	MSH6	622	0	0
55	BOTH	156	Bile duct/gall bladder	MSH6	691	0	0
60	BOTH	156	Bile duct/gall bladder	MSH6	649	0	0
65	BOTH	156	Bile duct/gall bladder	MSH6	505	0	0
70	BOTH	156	Bile duct/gall bladder	MSH6	324	0	0
75	BOTH	156	Bile duct/gall bladder	MSH6	192	0	0
25	BOTH	156	Bile duct/gall bladder	PMS2	50	0	0
30	BOTH	156	Bile duct/gall bladder	PMS2	80	0	0
35	BOTH	156	Bile duct/gall bladder	PMS2	150	0	0
40	BOTH	156	Bile duct/gall bladder	PMS2	178	0	0
45	BOTH	156	Bile duct/gall bladder	PMS2	249	0	0
50	BOTH	156	Bile duct/gall bladder	PMS2	323	0	0
55	BOTH	156	Bile duct/gall bladder	PMS2	372	0	0
60	BOTH	156	Bile duct/gall bladder	PMS2	318	0	0
65	BOTH	156	Bile duct/gall bladder	PMS2	240	0	0
70	BOTH	156	Bile duct/gall bladder	PMS2	132	0	0
75	BOTH	156	Bile duct/gall bladder	PMS2	79	0	0
25	BOTH	154	Sigmoid/rectum	MLH1	1303	1	0.000767459708365311
30	BOTH	154	Sigmoid/rectum	MLH1	2054	0	0
35	BOTH	154	Sigmoid/rectum	MLH1	2646	6	0.00226757369614512
40	BOTH	154	Sigmoid/rectum	MLH1	3093	5	0.00161655350792111
45	BOTH	154	Sigmoid/rectum	MLH1	3165	3	0.000947867298578199
50	BOTH	154	Sigmoid/rectum	MLH1	2899	5	0.0017247326664367
55	BOTH	154	Sigmoid/rectum	MLH1	2432	7	0.00287828947368421
60	BOTH	154	Sigmoid/rectum	MLH1	1904	5	0.00262605042016807
65	BOTH	154	Sigmoid/rectum	MLH1	1344	5	0.0037202380952381
70	BOTH	154	Sigmoid/rectum	MLH1	853	5	0.00586166471277843
75	BOTH	154	Sigmoid/rectum	MLH1	514	1	0.00194552529182879
25	BOTH	154	Sigmoid/rectum	MSH2	977	0	0
30	BOTH	154	Sigmoid/rectum	MSH2	1453	1	0.000688231245698555
35	BOTH	154	Sigmoid/rectum	MSH2	1938	2	0.00103199174406605
40	BOTH	154	Sigmoid/rectum	MSH2	2325	9	0.00387096774193548
45	BOTH	154	Sigmoid/rectum	MSH2	2407	7	0.00290818446198587
50	BOTH	154	Sigmoid/rectum	MSH2	2311	9	0.00389441800086543
55	BOTH	154	Sigmoid/rectum	MSH2	2045	6	0.00293398533007335
60	BOTH	154	Sigmoid/rectum	MSH2	1688	9	0.00533175355450237
65	BOTH	154	Sigmoid/rectum	MSH2	1170	9	0.00769230769230769
70	BOTH	154	Sigmoid/rectum	MSH2	731	5	0.00683994528043776
75	BOTH	154	Sigmoid/rectum	MSH2	341	2	0.00586510263929619
25	BOTH	154	Sigmoid/rectum	MSH6	141	0	0
30	BOTH	154	Sigmoid/rectum	MSH6	275	0	0
35	BOTH	154	Sigmoid/rectum	MSH6	432	0	0
40	BOTH	154	Sigmoid/rectum	MSH6	521	0	0
45	BOTH	154	Sigmoid/rectum	MSH6	541	0	0
50	BOTH	154	Sigmoid/rectum	MSH6	584	0	0
55	BOTH	154	Sigmoid/rectum	MSH6	629	1	0.00158982511923688
60	BOTH	154	Sigmoid/rectum	MSH6	583	5	0.00857632933104631
65	BOTH	154	Sigmoid/rectum	MSH6	449	0	0
70	BOTH	154	Sigmoid/rectum	MSH6	284	0	0
75	BOTH	154	Sigmoid/rectum	MSH6	164	0	0
25	BOTH	154	Sigmoid/rectum	PMS2	49	0	0
30	BOTH	154	Sigmoid/rectum	PMS2	80	0	0
35	BOTH	154	Sigmoid/rectum	PMS2	145	0	0
40	BOTH	154	Sigmoid/rectum	PMS2	174	0	0
45	BOTH	154	Sigmoid/rectum	PMS2	242	0	0
50	BOTH	154	Sigmoid/rectum	PMS2	302	0	0
55	BOTH	154	Sigmoid/rectum	PMS2	358	0	0
60	BOTH	154	Sigmoid/rectum	PMS2	306	1	0.00326797385620915
65	BOTH	154	Sigmoid/rectum	PMS2	219	0	0
70	BOTH	154	Sigmoid/rectum	PMS2	117	0	0
75	BOTH	154	Sigmoid/rectum	PMS2	76	0	0
25	BOTH	188	Urinary bladder	MLH1	1328	0	0
30	BOTH	188	Urinary bladder	MLH1	2102	0	0
35	BOTH	188	Urinary bladder	MLH1	2734	0	0
40	BOTH	188	Urinary bladder	MLH1	3209	0	0
45	BOTH	188	Urinary bladder	MLH1	3328	3	0.000901442307692308
50	BOTH	188	Urinary bladder	MLH1	3089	1	0.000323729362253156
55	BOTH	188	Urinary bladder	MLH1	2598	5	0.00192455735180908
60	BOTH	188	Urinary bladder	MLH1	2051	4	0.00195026816187226
65	BOTH	188	Urinary bladder	MLH1	1431	3	0.00209643605870021
70	BOTH	188	Urinary bladder	MLH1	947	5	0.00527983104540655
75	BOTH	188	Urinary bladder	MLH1	545	1	0.0018348623853211
25	BOTH	188	Urinary bladder	MSH2	1016	0	0
30	BOTH	188	Urinary bladder	MSH2	1501	1	0.000666222518321119
35	BOTH	188	Urinary bladder	MSH2	2026	0	0
40	BOTH	188	Urinary bladder	MSH2	2476	3	0.00121163166397415
45	BOTH	188	Urinary bladder	MSH2	2674	5	0.0018698578908003
50	BOTH	188	Urinary bladder	MSH2	2649	5	0.0018875047187618
55	BOTH	188	Urinary bladder	MSH2	2342	8	0.00341588385994876
60	BOTH	188	Urinary bladder	MSH2	1875	7	0.00373333333333333
65	BOTH	188	Urinary bladder	MSH2	1314	4	0.0030441400304414
70	BOTH	188	Urinary bladder	MSH2	755	4	0.00529801324503311
75	BOTH	188	Urinary bladder	MSH2	330	2	0.00606060606060606
25	BOTH	188	Urinary bladder	MSH6	146	0	0
30	BOTH	188	Urinary bladder	MSH6	292	0	0
35	BOTH	188	Urinary bladder	MSH6	464	0	0
40	BOTH	188	Urinary bladder	MSH6	560	0	0
45	BOTH	188	Urinary bladder	MSH6	579	2	0.00345423143350604
50	BOTH	188	Urinary bladder	MSH6	624	0	0
55	BOTH	188	Urinary bladder	MSH6	692	1	0.00144508670520231
60	BOTH	188	Urinary bladder	MSH6	647	0	0
65	BOTH	188	Urinary bladder	MSH6	505	0	0
70	BOTH	188	Urinary bladder	MSH6	324	1	0.00308641975308642
75	BOTH	188	Urinary bladder	MSH6	186	0	0
25	BOTH	188	Urinary bladder	PMS2	50	0	0
30	BOTH	188	Urinary bladder	PMS2	80	0	0
35	BOTH	188	Urinary bladder	PMS2	150	0	0
40	BOTH	188	Urinary bladder	PMS2	178	0	0
45	BOTH	188	Urinary bladder	PMS2	249	0	0
50	BOTH	188	Urinary bladder	PMS2	323	0	0
55	BOTH	188	Urinary bladder	PMS2	371	0	0
60	BOTH	188	Urinary bladder	PMS2	313	0	0
65	BOTH	188	Urinary bladder	PMS2	233	0	0
70	BOTH	188	Urinary bladder	PMS2	132	0	0
75	BOTH	188	Urinary bladder	PMS2	79	0	0
25	FEMALE	189	Ureter/kidney	MLH1	723	0	0
30	FEMALE	189	Ureter/kidney	MLH1	1058	0	0
35	FEMALE	189	Ureter/kidney	MLH1	1414	1	0.000707213578500707
40	FEMALE	189	Ureter/kidney	MLH1	1689	0	0
45	FEMALE	189	Ureter/kidney	MLH1	1746	1	0.000572737686139748
50	FEMALE	189	Ureter/kidney	MLH1	1654	1	0.00060459492140266
55	FEMALE	189	Ureter/kidney	MLH1	1386	0	0
60	FEMALE	189	Ureter/kidney	MLH1	1125	3	0.00266666666666667
65	FEMALE	189	Ureter/kidney	MLH1	766	1	0.00130548302872063
70	FEMALE	189	Ureter/kidney	MLH1	527	1	0.00189753320683112
75	FEMALE	189	Ureter/kidney	MLH1	373	2	0.00536193029490617
25	FEMALE	189	Ureter/kidney	MSH2	576	0	0
30	FEMALE	189	Ureter/kidney	MSH2	782	0	0
35	FEMALE	189	Ureter/kidney	MSH2	1031	0	0
40	FEMALE	189	Ureter/kidney	MSH2	1278	3	0.00234741784037559
45	FEMALE	189	Ureter/kidney	MSH2	1373	3	0.0021849963583394
50	FEMALE	189	Ureter/kidney	MSH2	1376	4	0.00290697674418605
55	FEMALE	189	Ureter/kidney	MSH2	1322	4	0.00302571860816944
60	FEMALE	189	Ureter/kidney	MSH2	1081	10	0.00925069380203515
65	FEMALE	189	Ureter/kidney	MSH2	686	6	0.0087463556851312
70	FEMALE	189	Ureter/kidney	MSH2	389	5	0.012853470437018
75	FEMALE	189	Ureter/kidney	MSH2	197	4	0.0203045685279188
25	FEMALE	189	Ureter/kidney	MSH6	74	0	0
30	FEMALE	189	Ureter/kidney	MSH6	137	0	0
35	FEMALE	189	Ureter/kidney	MSH6	225	0	0
40	FEMALE	189	Ureter/kidney	MSH6	312	0	0
45	FEMALE	189	Ureter/kidney	MSH6	349	0	0
50	FEMALE	189	Ureter/kidney	MSH6	394	0	0
55	FEMALE	189	Ureter/kidney	MSH6	406	1	0.00246305418719212
60	FEMALE	189	Ureter/kidney	MSH6	372	2	0.00537634408602151
65	FEMALE	189	Ureter/kidney	MSH6	287	1	0.00348432055749129
70	FEMALE	189	Ureter/kidney	MSH6	193	0	0
75	FEMALE	189	Ureter/kidney	MSH6	113	0	0
25	FEMALE	189	Ureter/kidney	PMS2	34	0	0
30	FEMALE	189	Ureter/kidney	PMS2	41	0	0
35	FEMALE	189	Ureter/kidney	PMS2	82	0	0
40	FEMALE	189	Ureter/kidney	PMS2	99	0	0
45	FEMALE	189	Ureter/kidney	PMS2	138	0	0
50	FEMALE	189	Ureter/kidney	PMS2	176	0	0
55	FEMALE	189	Ureter/kidney	PMS2	213	0	0
60	FEMALE	189	Ureter/kidney	PMS2	192	0	0
65	FEMALE	189	Ureter/kidney	PMS2	145	0	0
70	FEMALE	189	Ureter/kidney	PMS2	69	0	0
75	FEMALE	189	Ureter/kidney	PMS2	39	0	0
25	FEMALE	153	Colon	MLH1	697	0	0
30	FEMALE	153	Colon	MLH1	962	9	0.00935550935550936
35	FEMALE	153	Colon	MLH1	1140	16	0.0140350877192982
40	FEMALE	153	Colon	MLH1	1243	12	0.00965406275140788
45	FEMALE	153	Colon	MLH1	1167	10	0.00856898029134533
50	FEMALE	153	Colon	MLH1	997	16	0.0160481444332999
55	FEMALE	153	Colon	MLH1	754	12	0.0159151193633952
60	FEMALE	153	Colon	MLH1	560	12	0.0214285714285714
65	FEMALE	153	Colon	MLH1	355	4	0.0112676056338028
70	FEMALE	153	Colon	MLH1	205	3	0.0146341463414634
75	FEMALE	153	Colon	MLH1	128	3	0.0234375
